id,naam,soort_activiteit,doelgroep,aantal_beschikbaar,locatie,korte_omschrijving,duur,benodigdheden,beschikbaar,opmerkingen,bestandslink,thema
1,Sleutels van Petrus,Escaperoom,Tieners 12-16 jaar,1,Uden,Een escaperoom over Petrus. Aan de hand van de opdrachten proberen de deelnemers een code te achterhalen om de sleutels van Petrus terug te krijgen. Voor deze escaperoom zijn materialen aanwezig om het met maximaal 8 groepen tegelijkertijd te spelen.,60 min.,Kaarten schrijfmateriaal en ect snoepsleutels als beloning in de pot met sleutels,Vrij,"Populair bij groep 3 , Voor deze escaperoom is voorbereiding nodig: materialen moeten vooraf worden klaargelegd, opdrachten voorbereid en puzzelstukken in de ruimte verstopt.",,"Geloof & Hoop, Gemeenschap"
2,Jezus zegent de kinderen,Escaperoom,Kinderen 9-12 jaar,1,Uden,"""We gaan vandaag iets bijzonders doen: we stappen in het verhaal van Jezus die de kinderen zegent. Maar om dit verhaal goed te begrijpen, moeten we eerst iets oplossen...""",30 min,"Hoepels, ballen schrijf- en kleurmateriaal en evt schilderstape",Vrij,Moeilijk bij grote groepen Er zijn hier 2 versies van. Er is een versie waarbij je het doolhof letterlijk op de grond uitzet. Dit doe je door middel van tape.,,Geloof & Hoop
3,Schat van Barmhartigheid,"Spel, Circuit",Kinderen 9-12 jaar,1,Uden,"De kinderen ontdekken de 8 Werken van Barmhartigheid door samen een ""schat"" te verzamelen: acht waarden/handelingen die je rijk maken in Gods ogen.",45 min,"Papier, lijm, stiften kleurpotloden bij 2 opdrachten evt echt brood, blinddoeken, pennen, plakband, (kapla)blokken,",Vrij,Nieuwe set aanwezig,,Gemeenschap
4,Bijbels Party en Co,Spel,Alle leeftijden,1,Uden,"Bij Bijbels Party & Co gaan jullie op een speelse en interactieve manier aan de slag met de Bijbel.
In teams voeren jullie verschillende opdrachten uit, zoals vragen beantwoorden, uitbeelden, tekenen en omschrijven.
Samenwerken en creativiteit staan centraal.
Het doel is om al spelend meer te ontdekken over bijbelverhalen en -kennis.",60 min,n.v.t.,Vrij,,,"Gemeenschap, Geloof & Hoop, Bijbel"
5,Vurig Roofspel,Spel,Tieners 12-16 jaar,1,Uden,"Bij het Vurig Roofspel gaan jongeren op een actieve en speelse manier met elkaar in gesprek rond het thema Pinksteren.
In een tik- en roofspel voeren ze twee-aan-twee gesprekken aan de hand van verdiepende vragen.
Zo leren ze elkaar beter kennen en ontdekken ze wat hen in vuur en vlam zet.
Groepsvorming, ontmoeting en geloofsgesprek staan centraal.",n.v.t.,"Blad met alle namen van de deelnemers, pennen, grote kaars, een theelichtje per deelnemer",Vrij,,,Pinksteren
6,Paasescape,Escaperoom,Kinderen 9-12 jaar,1,Uden,"In deze Paas-escaperoom werken kinderen uit groep 5-6 samen om te ontsnappen uit een afgesloten ruimte.
Door puzzels, spelletjes en rekenopdrachten ontdekken ze stap voor stap het paasverhaal.
Samenwerken, goed kijken en logisch nadenken staan centraal.
Zo beleven kinderen het verhaal van Jezus op een speelse en begrijpelijke manier.",n.v.t.,"Pennen, koffer met slot ingesteld op de juiste code (195)",Vrij,"Voor deze escaperoom is voorbereiding nodig: materialen moeten vooraf worden klaargelegd, opdrachten voorbereid en puzzelstukken in de ruimte verstopt.",,"Goede week, Geloof & Hoop, Pasen"
7,Paasescape,Escaperoom,Tieners 12-16 jaar,1,Uden,"In deze Paas-escaperoom werken tieners samen om te ontsnappen uit een afgesloten ruimte.
Door uitdagende puzzels en creatieve opdrachten ontdekken ze stap voor stap het paasverhaal.
Samenwerking, logisch denken en durven zoeken staan centraal.
Zo beleven tieners het lijden, sterven en de opstanding van Jezus op een actieve manier.",n.v.t.,"Pennen, koffer met slot ingesteld op de juiste code (195)",Vrij,"Voor deze escaperoom is voorbereiding nodig: materialen moeten vooraf worden klaargelegd, opdrachten voorbereid en puzzelstukken in de ruimte verstopt.",,"Goede week, Geloof & Hoop, Pasen"
8,Kennismakingskwartet,Spel,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Geloof & Hoop"
9,QR- tocht,"Spel, Circuit",Tieners 12-16 jaar,1,Bisdom,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Geloof & Hoop"
10,Bijbels 30 seconds,Te bepalen,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Geloof & Hoop, Bijbel"
11,10 geboden,Spel,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Gemeenschap"
12,Wie is het ,Spel,Alle leeftijden,1,Uden,Bijbelse personen,n.v.t.,n.v.t.,Vrij,,,"Goede week, Bijbel"
13,Bijbels Pim Pam Pet,Spel,Alle leeftijden,2,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Zoeken & Twijfelen, Bijbel"
14,Bijbelse dilemma's,Spel,Alle leeftijden,2,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Bijbel"
15,Bingo,Spel,Alle leeftijden,1,Uden,Bijbelse personen,n.v.t.,n.v.t.,Vrij,,,"Gemeenschap, Bijbel"
16,Ganzenbord,Spel,Alle leeftijden,1,Uden,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,Thema Pasen,,"Geloof & Hoop, Zoeken & Twijfelen"
17,Heiligen kwartet,Spel,Alle leeftijden,1,n.b.,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Geloof & Hoop, Gemeenschap, Allerheiligen"
18,Hoop doet Leven,"Spel, Circuit",Alle leeftijden,1,Uden,We spelen een spel waarbij we allemaal ons steentje kunnen bijdragen. We hebben de tekst 'Hoop is ...' vertaald in x aantal (gekozen) opdrachten. De bedoeling van het spel is dat jullie al deze opdrachten gaan vervullen in zestig minuten. ,n.v.t.,n.v.t.,Vrij,,,Geloof & Hoop
19,Levend Cluedo,Spel,Tieners 12-16 jaar,1,n.b.,Beschrijving volgt...,n.v.t.,n.v.t.,Vrij,,,"Zoeken & Twijfelen, Goede week"
20,De tijd tikt,Escaperoom,Tieners 12-16 jaar,1,n.b.,"Jongens en meiden ontdekken dat professor Time R. de tijd heeft gestolen en de wereld daardoor dreigt te ontsporen.
In een reeks puzzels en spelletjes moeten ze de juiste tijd achterhalen en de klok zo snel mogelijk instellen.
Ze werken samen, lossen raadsels op en voeren creatieve opdrachten uit binnen de tijd.
Zo leren ze elkaar aanmoedigen, eigenschappen van zichzelf en van het andere geslacht ontdekken, én de tijd redden!",n.v.t.,n.v.t.,Vrij,,,Geloof & Hoop
